projno,"employee assigned",deptname,ESTIMATED,EXPECTED
AD3100,"CHRISTINE HAAS","SPIFFY COMPUTER SERVICE DIV.",2003-02-01,2003-03-12
AD3110,"EVA PULASKI","ADMINISTRATION SYSTEMS",2003-02-01,2003-03-12
AD3111,"JAMES JEFFERSON","ADMINISTRATION SYSTEMS",2003-02-01,2003-03-12
AD3112,"DANIEL SMITH","ADMINISTRATION SYSTEMS",2003-02-01,2003-03-12
AD3113,"MARIA PEREZ","ADMINISTRATION SYSTEMS",2003-02-01,2003-03-12
IF1000,"SALLY KWAN","INFORMATION CENTER",2003-02-01,2003-03-12
IF2000,"SALLY KWAN","INFORMATION CENTER",2003-02-01,2003-03-12
OP1000,"JOHN GEYER","SUPPORT SERVICES",2003-02-01,2003-03-12
OP1010,"EILEEN HENDERSON",OPERATIONS,2003-02-01,2003-03-12
OP2000,"JOHN GEYER","SUPPORT SERVICES",2003-02-01,2003-03-12
OP2010,"THEODORE SPENSER","SOFTWARE SUPPORT",2003-02-01,2003-03-12
OP2011,"RAMLAL MEHTA","SOFTWARE SUPPORT",2003-02-01,2003-03-12
OP2012,"WING LEE","SOFTWARE SUPPORT",2003-02-01,2003-03-12
OP2013,"JASON GOUNOT","SOFTWARE SUPPORT",2003-02-01,2003-03-12
PL2100,"MICHAEL THOMPSON",PLANNING,2002-09-15,2002-10-10
