lastname,salary,INC-Y-SALARY,INC-M-SALARY
ALONZO,31840.00,"33,432.00","2,786.00"
PARKER,35340.00,"37,107.00","3,092.25"
WONG,35370.00,"37,138.50","3,094.88"
SETRIGHT,35900.00,"37,695.00","3,141.25"
SPRINGER,35900.00,"37,695.00","3,141.25"
SCHNEIDER,36250.00,"38,062.50","3,171.88"
PEREZ,37380.00,"39,249.00","3,270.75"
SMITH,37750.00,"39,637.50","3,303.13"
MONTEVERDE,37760.00,"39,648.00","3,304.00"
ORLANDO,39250.00,"41,212.50","3,434.38"
MEHTA,39950.00,"41,947.50","3,495.63"
JEFFERSON,42180.00,"44,289.00","3,690.75"
GOUNOT,43840.00,"46,032.00","3,836.00"
YOSHIMURA,44680.00,"46,914.00","3,909.50"
LEE,45370.00,"47,638.50","3,969.88"
SCHWARTZ,46250.00,"48,562.50","4,046.88"
HEMMINGER,46500.00,"48,825.00","4,068.75"
JOHNSON,47250.00,"49,612.50","4,134.38"
MARINO,48760.00,"51,198.00","4,266.50"
SMITH,49180.00,"51,639.00","4,303.25"
O'CONNELL,49250.00,"51,712.50","4,309.38"
LUTZ,49840.00,"52,332.00","4,361.00"
WALKER,50450.00,"52,972.50","4,414.38"
SCOUTTEN,51340.00,"53,907.00","4,492.25"
ADAMSON,55280.00,"58,044.00","4,837.00"
